Status,eventName,eventURL,eventStartTime,eventVenueName,eventAddress,eventCity,groupName,eventGoogleMaps,event_description
approved,Python Office Hours  ,https://www.meetup.com/pumping-station-one/events/305320087/,,Pumping Station One: Lounge,3519 N. Elston Ave,Chicago,Pumping Station: One,https://www.google.com/maps/search/?api=1&query=41.945435%2C%20-87.70652,"Python Office Hours at PS1 is back. now on Mondays opposite NERP. 
What is this meeting about?

https://wiki.pumpingstationone.org/Python_Office_Hours

This is a chance for people of all experiences levels to get together for programming, socializing, and moral support while working on things.

This is a flipped "office hours" where you can learn from your peers.

In flipped classrooms students watch lectures and read material outside the classroom then work on things in person. This isn't a formal class, but the idea is similar. Many people who attend are there to help.

If you prefer to work on things on your own, that is okay too!

We talk on irc during office hours at #pumpingstationone on lebre.chat.
https://wiki.pumpingstationone.org/IRC

It is handy for sharing links to information and pastebins.

If you don't already have something to work on or study, feel free to show up and see what is going on.

What to bring?

An interest in Python

A kind attitude and good conduct: Everyone is expected to Be excellent to each other (https://wiki.pumpingstationone.org/Be_excellent_to_each_other) at the space. On top of that, I'd like to make this a setting that follows the Recurse Center User's Manual (https://www.recurse.com/manual#sec-environment) on social rules. Their social rules make learning environments more productive and friendly. I also expect everyone to follow the Python Office Hours Code_of_Conduct (https://wiki.pumpingstationone.org/Python_Office_Hours/Code_of_Conduct).

A computer: We have wifi at the space, but we don't have extra computers floating around. If you have trouble bringing a laptop, talk to us before the event. We can try to find one for you but we need to know beforehand (preferably a few days)."
approved,ChicagoJS Meetup February 2025,https://www.meetup.com/js-chi/events/304402684/,,200 E Randolph St,200 E Randolph St,Chicago,Chicago JavaScript Meetup Group,https://www.google.com/maps/search/?api=1&query=41.884796%2C%20-87.62125,"**Do you have something you'd like to share at an upcoming meetup?** We are always looking for presenters and hosts. If you're interested, feel free to message us on **[Discord](https://discord.gg/vTsPF99uXv)** or email **[heather@bitovi.com](http://mailto:heather@bitovi.com/)**!

We're so lucky to have support from various sponsors throughout the year. [Bitovi](https://www.bitovi.com/), a digital product consultancy, is our primary sponsor."
